Description                                                                         Summary Amt.
Beginning balance as of 02/25/2026                                                      1,073.99
Total credits                                                                           6,718.05
Total debits                                                                           -6,132.34
Ending balance as of 03/26/2026                                                         1,659.70


Date        Description                                                                   Amount  Running Bal.
02/25/2026  Beginning balance as of 02/25/2026                                                        1,073.99
02/25/2026  Google One 02/23 PURCHASE XXX-XX30000 CA                                      -20.54      1,053.45
02/25/2026  SQ *PUNJABI DHABA 02/24 MOBILE PURCHASE Berkeley CA                           -14.88      1,038.57
02/25/2026  UBER * PENDI 02/25 PURCHASE San Francisco CA                                   -9.95      1,028.62
02/25/2026  TRADER JOE S # 02/25 MOBILE PURCHASE BERKELEY CA                              -51.61        977.01
02/26/2026  DD *DOORDASH ZAYTOONME 02/24 PURCHASE 855-973-1040 CA                         -39.92        937.09
02/26/2026  GYPSY'S TRATTORIA ITAL 02/24 MOBILE PURCHASE BERKELEY CA                      -20.93        916.16
02/26/2026  AMAZON MKTPL*BE0T953F2 02/25 PURCHASE Amzn.com/bill WA                        -39.69        876.47
02/27/2026  DD *DOORDASH LASCABAAS 02/25 PURCHASE 855-973-1040 CA                         -29.49        846.98
02/27/2026  CAPITAL ONE DES:CRCARDPMT ID:CA003DC817436A1 INDN:Faiaz F Khan CO ID:XXXXX19318 WEB      -98.00        748.98
03/02/2026  BKOFAMERICA ATM 03/02 #XXXXX7522 DEPOSIT BERKELEY MAIN BERKELEY CA            990.00      1,738.98
03/02/2026  AMAZON MKTPL*B92NV18H1 02/26 PURCHASE Amzn.com/bill WA                        -19.83      1,719.15
03/02/2026  AMAZON RETA* B949R2Q81 02/27 PURCHASE WWW.AMAZON.CO WA                        -20.93      1,698.22
03/02/2026  APPLE.COM/BILL 02/27 PURCHASE 866-712-7753 CA                                 -10.99      1,687.23
03/02/2026  SQ *HAYBA SHAWARMA 02/28 MOBILE PURCHASE Emeryville CA                        -15.44      1,671.79
03/02/2026  DD *DOORDASH LASCABAAS 02/28 PURCHASE 855-973-1040 CA                         -22.60      1,649.19
03/02/2026  TRADER JOE S # 02/28 MOBILE PURCHASE BERKELEY CA                              -41.72      1,607.47
03/03/2026  BKOFAMERICA ATM 03/03 #XXXXX7664 DEPOSIT BERKELEY MAIN BERKELEY CA            990.00      2,597.47
03/03/2026  RESTAURANT GUSTO 03/01 MOBILE PURCHASE XXX-XX305592 CA                        -29.99      2,567.48
03/03/2026  DD *DOORDASHDASHPASS 03/03 PURCHASE DOORDASH.COM CA                            -4.99      2,562.49
